,RATING
1386,4.0
1387,2.4
1388,4.0
1389,3.6
1390,4.2
1391,4.0
1392,3.2
1393,3.4
1394,4.2
1395,3.8
1396,4.2
1397,4.0
1398,3.6
1399,3.6
1400,3.8
1401,4.0
1402,4.0
1403,3.8
1404,4.2
1405,3.6
1406,4.2
1407,4.0
1408,4.2
1409,4.0
1410,3.6
1411,4.2
1412,4.0
1413,4.0
1414,3.0
1415,3.8
1416,4.4
1417,4.2
1418,4.0
1419,2.8
1420,3.8
1421,2.8
1422,3.6
1423,4.0
1424,4.0
1425,4.0
1426,4.0
1427,4.0
1428,4.2
1429,3.8
1430,4.4
1431,4.0
1432,3.4
1433,3.8
1434,4.0
1435,4.0
1436,3.4
1437,4.2
1438,3.6
1439,3.0
1440,3.8
1441,4.0
1442,3.8
1443,4.0
1444,4.0
1445,4.6
1446,4.0
1447,2.4
1448,4.0
1449,3.6
1450,4.2
1451,4.0
1452,3.2
1453,3.4
1454,4.2
1455,3.8
1456,4.2
1457,4.0
1458,3.6
1459,3.6
1460,3.8
1461,4.0
1462,4.0
1463,3.8
1464,4.2
1465,3.6
1466,4.2
1467,4.0
1468,4.2
1469,4.0
1470,3.6
1471,4.2
1472,4.0
1473,4.0
1474,3.0
1475,3.8
1476,4.4
1477,4.2
1478,4.0
1479,2.8
1480,3.8
1481,2.8
1482,3.6
1483,4.0
1484,4.0
1485,4.0
1486,4.0
1487,4.0
1488,4.2
1489,3.8
1490,4.4
1491,4.0
1492,3.4
1493,3.8
1494,4.0
1495,4.0
1496,3.4
1497,4.2
1498,3.6
1499,3.0
1500,3.8
1501,4.0
1502,3.8
1503,4.0
1504,4.0
1505,4.6
1506,4.0
1507,2.4
1508,4.0
1509,3.6
1510,4.2
1511,4.0
1512,3.2
1513,3.4
1514,4.2
1515,3.8
1516,4.2
1517,4.0
1518,3.6
1519,3.6
1520,3.8
1521,4.0
1522,4.0
1523,3.8
1524,4.2
1525,3.6
1526,4.2
1527,4.0
1528,4.2
1529,4.0
1530,3.6
1531,4.2
